candidate_id,rank,score,reasoning
CAND_0068351,1,1.00239,Lead AI Engineer with 6.4 yrs exp; good recruiter response; recent search visibility
CAND_0006567,2,0.996679,Senior AI Engineer with 7.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0093193,3,0.981383,Senior Machine Learning Engineer with 7.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0002025,4,0.964683,Senior AI Engineer with 5.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0061257,5,0.9638,Staff Machine Learning Engineer with 8.0 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0005538,6,0.962077,Senior AI Engineer with 5.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0080766,7,0.958587,Staff Machine Learning Engineer with 8.8 yrs exp; good recruiter response; recent search visibility
CAND_0077337,8,0.945273,Staff Machine Learning Engineer with 7.0 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0018499,9,0.941985,Senior Machine Learning Engineer with 7.2 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0088025,10,0.933523,Staff Machine Learning Engineer with 8.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0007411,11,0.931713,Senior Machine Learning Engineer with 8.0 yrs exp; recent search visibility
CAND_0046525,12,0.930671,Senior Machine Learning Engineer with 6.1 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0060072,13,0.929974,Staff Machine Learning Engineer with 5.7 yrs exp; recent search visibility
CAND_0081846,14,0.924006,Lead AI Engineer with 6.7 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0055905,15,0.910269,Senior Machine Learning Engineer with 8.1 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0015967,16,0.893716,Senior Software Engineer (ML) with 5.4 yrs exp; open to work; recent search visibility
CAND_0043676,17,0.89074,Senior Software Engineer (ML) with 6.1 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0060315,18,0.887976,Senior Software Engineer (ML) with 5.4 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0091899,19,0.886666,Senior Software Engineer (ML) with 5.8 yrs exp; good recruiter response; recent search visibility
CAND_0040820,20,0.885628,Senior Software Engineer (ML) with 5.5 yrs exp; good recruiter response; recent search visibility
CAND_0013665,21,0.884066,Senior Software Engineer (ML) with 5.2 yrs exp; good recruiter response; recent search visibility
CAND_0041611,22,0.882732,Staff Machine Learning Engineer with 6.4 yrs exp; recent search visibility
CAND_0082262,23,0.882616,Senior Software Engineer (ML) with 5.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0093763,24,0.881275,Senior Software Engineer (ML) with 5.0 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0062707,25,0.877984,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; recent search visibility
CAND_0035764,26,0.877688,Senior Software Engineer (ML) with 6.8 yrs exp; open to work; recent search visibility
CAND_0049978,27,0.877516,Senior Software Engineer (ML) with 6.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0047542,28,0.875438,Senior Software Engineer (ML) with 5.0 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0006821,29,0.873563,Senior Software Engineer (ML) with 5.0 yrs exp; recent search visibility
CAND_0070525,30,0.872703,Senior Software Engineer (ML) with 5.4 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0059795,31,0.872287,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0053605,32,0.871445,Senior Software Engineer (ML) with 6.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0071974,33,0.870188,Senior AI Engineer with 7.8 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0071880,34,0.869228,Senior Software Engineer (ML) with 5.8 yrs exp; good recruiter response; recent search visibility
CAND_0001930,35,0.869031,Senior Software Engineer (ML) with 6.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0072547,36,0.868238,Senior Software Engineer (ML) with 5.1 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0087006,37,0.867779,Senior Software Engineer (ML) with 5.7 yrs exp; open to work; recent search visibility
CAND_0094759,38,0.866578,Lead AI Engineer with 8.6 yrs exp; recent search visibility
CAND_0082291,39,0.86549,Senior Software Engineer (ML) with 5.8 yrs exp; good recruiter response; recent search visibility
CAND_0029117,40,0.862784,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0081321,41,0.861568,Senior Software Engineer (ML) with 5.3 yrs exp; open to work; recent search visibility
CAND_0026424,42,0.85812,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; recent search visibility
CAND_0049538,43,0.857541,Applied ML Engineer with 5.8 yrs exp; good recruiter response; recent search visibility
CAND_0061696,44,0.857514,Senior Software Engineer (ML) with 3.5 yrs exp; good recruiter response; recent search visibility
CAND_0072263,45,0.857004,Senior Software Engineer (ML) with 6.7 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0017090,46,0.855745,Senior Software Engineer (ML) with 5.5 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0080344,47,0.855273,Senior Software Engineer (ML) with 4.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0093474,48,0.853627,Senior Software Engineer (ML) with 5.3 yrs exp; recent search visibility
CAND_0068985,49,0.85275,Senior Software Engineer (ML) with 5.2 yrs exp; good recruiter response; recent search visibility
CAND_0005269,50,0.852465,Senior Software Engineer (ML) with 6.1 yrs exp; open to work; recent search visibility
CAND_0025882,51,0.852296,Senior Software Engineer (ML) with 5.6 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0054859,52,0.851656,Senior Software Engineer (ML) with 6.9 yrs exp; open to work; good recruiter response; recent search visibility
CAND_0067866,53,0.851297,Senior Software Engineer (ML) with 6.4 yrs exp; open to work; good recruiter response; recent search visibility
